,Name,Longitude,Latitude,id
0,Victoria Street (1),103.8557237,1.3004897,1
1,Nicoll Highway (2),103.8619796,1.2997619,2
2,Eu Tong Sen Street (3),103.8404995,1.280966,3
3,Orchard Link (4),103.8349152,1.3005359,4
4,Lim Teck Kim Road (5),103.8418767,1.273484,5
5,Anson Road (6),103.8443154,1.2731744,6
6,Tanjong Pagar Road (7),103.8430888,1.2729768,7
7,Bencoolen Street (9),103.8536078,1.3028845,9
8,Queen Street (10),103.8549538,1.3013015,10
9,North Bridge Road (11),103.856513,1.2996866,11
10,Oxley Road (12),103.8413606,1.2991705,12
11,Orchard Road (13),103.8324104,1.3047263,13
12,Orchard Turn (14),103.8324932,1.3033527,14
13,Killiney Road (15),103.839717,1.2993758,15
14,Beach Road (16),103.8578141,1.2981888,16
15,Temasek Boulevard (17),103.8600149,1.2960691,17
16,Republic Boulevard (18),103.8624551,1.2959499,18
17,Havelock Road/Clemenceau Ave (19),103.8416015,1.2884502,19
18,Havelock Road/CTE Exit (20),103.8422103,1.2878725,20
19,Buyong Road (21),103.8431176,1.3005353,21
20,Kramat Road (22),103.8420118,1.3016072,22
21,River Valley Road (23),103.8438587,1.2929567,23
22,Merchant Road/Clemenceau Ave (24),103.8424023,1.2900448,24
23,Merchant Road/CTE Exit (25),103.844213,1.2888685,25
24,Clemenceau Ave (26),103.8437624,1.2978333,26
25,Cairnhill Road (27),103.8374758,1.3056683,27
26,Central Boulevard (28),103.8600461,1.2747073,28
27,Maxwell Road (29),103.85007,1.2746039,29
28,ECP to City (30),103.8767,1.29527,30
29,CTE after Braddell Road (31),103.8623199,1.3342978,31
30,PIE after Kallang Bahru on Woodsville Flyover (32),103.870533,1.3263295,32
31,CTE from Serangoon Road (33),103.8645704,1.3291042,33
32,CTE from Balestier Road (34),103.852111,1.3184546,34
33,CTE before Braddell Road (35),103.8595446,1.346309,35
34,AYE to City before Alexandra Road (36),103.7957255,1.2874012,36
35,PIE to Changi after Adam Road Exit (37),103.8200697,1.330596,37
36,PIE to Changi / Whitley Road (38),103.8291769,1.3272926,38
37,Thomson Road after Toa Payoh Rise (39),103.8372976,1.3372768,39
38,Bendemeer Road (40),103.86842,1.32735,40
39,Tuasbound AYE After North Buona Vista (41),103.77648,1.30122,41
40,PIE into CTE (42),103.8645735,1.3289743,42
41,Dunearn Road / Wayang Satu Flyover (43),103.8233556,1.3216752,43
42,Dunearn Road / Whitley Road (44),103.8253238,1.3211347,44
43,PIE slip road to Bendemeer Road (45),103.87041,1.32622,45
44,CTE Northbound after PIE (46),103.8621586,1.3340373,46
45,Orchard Road after YMCA (47),103.8478545,1.2981571,47
46,Orchard Road after Handy Road (48),103.8478144,1.2987203,48
47,Fort Canning Tunnel (49),103.8463731,1.2977673,49
48,KPE Southbound after Defu Flyover (50),103.9034203,1.3595449,50
49,CTE Northbound before exit to PIE (51),103.8605951,1.3261603,51
50,Clementi Avenue 6 into AYE (City) (52),103.76085,1.31514,52
51,Clementi Avenue 2 into AYE (City) (53),103.76641,1.30882,53
52,Bt Timah Expressway (Sb betw Dairy Farm Rd & PIE) (54),103.7855841,1.3549762,54
53,Upper Bt Timah Rd Southbound after Hume Ave (55),103.7696783,1.3532608,55
54,Toa Payoh Lorong 6 (56),103.8532561,1.3406217,56
55,Kallang Bahru (57),103.8729051,1.3219749,57
56,Geylang Bahru (58),103.8716378,1.3203604,58
57,Upper Boon Keng Road (59),103.8700201,1.3135157,59
58,Eu Tong Seng Street at Central (60),103.8474701,1.2892374,60
59,New Bridge Road before Upper Circular Road (61),103.8477426,1.2893031,61
60,South Bridge Road before Upper Circular Road (62),103.8488707,1.2883723,62
61,Fullerton Road eastbound at Fullerton Hotel (63),103.8536182,1.2861393,63
62,Fullerton Road westbound at One Fullerton (64),103.8537164,1.2860075,64
63,PIE westbound before Eunos Link (65),103.912442,1.3289876,65
64,Bayfront Ave towards Raffles Ave (66),103.8606987,1.2854876,66
65,PIE to CTE Northbound before Braddell Road (67),103.8620113,1.3337926,67
66,CTE Slip Road to PIE (Changi) / Serangoon Road (68),103.8624102,1.3342994,68
67,Bayfront Avenue towards Marina Boulevard (69),103.8608838,1.2854822,69
68,Geylang Road (70),103.8707488,1.3100764,70
69,Woodsville Tunnel (71),103.86804,1.32567,71
70,Sheares Avenue towards Sheares Link (72),103.8615171,1.2842371,72
71,ECP Eastbound before exit to KPE (73),103.87229,1.29551,73
72,Citybound AYE After Jurong Town Hall (74),103.75874,1.31633,74
73,KPE Southbound exit to ECP (City) (80),103.8752218,1.2937982,80
74,MCE Westbound exit to Marina Coastal Drive (90),103.8673866,1.27504,90
75,MCE Westbound before exit to Maxwell Road (91),103.8555584,1.2713491,91
76,Marina Boulevard to MCE Eastbound (92),103.8658875,1.2749699,92
77,MCE Eastbound before exit to Central Boulevard (93),103.8555959,1.2715461,93
