plaza_name,vehicle_cat,time,rates,weekdays/weekends
Victoria Street (1),Cars/Light Goods/Taxis ,07:00 - 08:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,08:00 - 08:05,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,08:05 - 08:30,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,08:30 - 09:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,09:00 - 09:25,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,09:25 - 09:30,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,09:30 - 09:55,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,09:55 - 10:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,10:00 - 12:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,12:00 - 12:05,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,12:05 - 14:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,14:00 - 14:05,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,14:05 - 14:55,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,14:55 - 15:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,15:00 - 17:30,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,17:30 - 18:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,18:00 - 18:05,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,18:05 - 18:55,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,18:55 - 19:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,19:00 - 19:55,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,19:55 - 20:00,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,20:00 - 22:30,0.0,Weekdays
Victoria Street (1),Cars/Light Goods/Taxis ,07:00 - 12:30,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,12:30 - 12:35,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,12:35 - 18:30,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,18:30 - 18:35,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,18:35 - 19:55,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,19:55 - 20:00,0.0,Saturday
Victoria Street (1),Cars/Light Goods/Taxis ,20:00 - 22:30,0.0,Saturday
Victoria Street (1),Motorcycles ,07:00 - 08:00,0.0,Weekdays
Victoria Street (1),Motorcycles ,08:00 - 08:05,0.0,Weekdays
Victoria Street (1),Motorcycles ,08:05 - 08:30,0.0,Weekdays
Victoria Street (1),Motorcycles ,08:30 - 09:00,0.0,Weekdays
Victoria Street (1),Motorcycles ,09:00 - 09:25,0.0,Weekdays
Victoria Street (1),Motorcycles ,09:25 - 09:30,0.0,Weekdays
Victoria Street (1),Motorcycles ,09:30 - 09:55,0.0,Weekdays
Victoria Street (1),Motorcycles ,09:55 - 10:00,0.0,Weekdays
Victoria Street (1),Motorcycles ,10:00 - 12:00,0.0,Weekdays
Victoria Street (1),Motorcycles ,12:00 - 12:05,0.0,Weekdays
Victoria Street (1),Motorcycles ,12:05 - 14:00,0.0,Weekdays
Victoria Street (1),Motorcycles ,14:00 - 14:05,0.0,Weekdays
Victoria Street (1),Motorcycles ,14:05 - 14:55,0.0,Weekdays
